text,label
Need a replacement for my headset I tried restarting but no luck.,Hardware
Reset 2FA settings It was working yesterday.,Access
Clarification on last month's charge,Billing
Keyboard keys are stuck I tried restarting but no luck.,Hardware
Need access to the marketing folder,Access
Need to update credit card information Please help.,Billing
Error 403 trying to access dashboard Urgent!!,Access
Upgrade subscription plan cost Thanks.,Billing
Billing address needs to be changed Please help.,Billing
Keyboard keys are stuck Urgent!!,Hardware
Webcam failed during meeting It was working yesterday.,Hardware
Need to update credit card information It was working yesterday.,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
Upgrade subscription plan cost Please help.,Billing
Clarification on last month's charge I tried restarting but no luck.,Billing
Permission denied for Jira Urgent!!,Access
Account locked out Urgent!!,Access
Cannot log in to VPN Urgent!!,Access
Billing address needs to be changed Thanks.,Billing
Screen went black suddenly I tried restarting but no luck.,Hardware
Keyboard keys are stuck It was working yesterday.,Hardware
Printer says paper jam but it's empty Thanks.,Hardware
Need a replacement for my headset Urgent!!,Hardware
Need to update credit card information It was working yesterday.,Billing
Invoice #12345 is incorrect It was working yesterday.,Billing
New employee account setup I tried restarting but no luck.,Access
Billing address needs to be changed Please help.,Billing
Computer making a loud noise I tried restarting but no luck.,Hardware
Why was I charged twice? Please help.,Billing
Billing address needs to be changed Urgent!!,Billing
Error 403 trying to access dashboard Thanks.,Access
Need to update credit card information Urgent!!,Billing
Why was I charged twice? Thanks.,Billing
Monitor is flickering Please help.,Hardware
Invoice #12345 is incorrect Please help.,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
SSO login is looping,Access
Printer says paper jam but it's empty Please help.,Hardware
Webcam failed during meeting,Hardware
Upgrade subscription plan cost Thanks.,Billing
Account locked out It was working yesterday.,Access
Permission denied for Jira Thanks.,Access
Error 403 trying to access dashboard,Access
Computer making a loud noise,Hardware
My laptop is not turning on,Hardware
Refund request for order #987 Please help.,Billing
Account locked out Please help.,Access
Why was I charged twice? Please help.,Billing
Reset 2FA settings,Access
Receipt for expense report Thanks.,Billing
Error 403 trying to access dashboard Urgent!!,Access
SSO login is looping,Access
Need to update credit card information,Billing
Need to update credit card information Thanks.,Billing
Need a replacement for my headset Urgent!!,Hardware
Why was I charged twice? Urgent!!,Billing
Refund request for order #987 Urgent!!,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
Permission denied for Jira Urgent!!,Access
Error 403 trying to access dashboard Thanks.,Access
Mouse not working Thanks.,Hardware
Payment failed notification Thanks.,Billing
Permission denied for Jira Urgent!!,Access
New employee account setup Please help.,Access
Payment failed notification Thanks.,Billing
Why was I charged twice? Thanks.,Billing
Payment failed notification,Billing
Payment failed notification It was working yesterday.,Billing
Refund request for order #987 Urgent!!,Billing
Cancel my subscription renewal,Billing
Cancel my subscription renewal Thanks.,Billing
Payment failed notification Urgent!!,Billing
Billing address needs to be changed,Billing
Cancel my subscription renewal Please help.,Billing
Need access to the marketing folder Please help.,Access
Receipt for expense report Urgent!!,Billing
Why was I charged twice? Urgent!!,Billing
Need a replacement for my headset Thanks.,Hardware
Keyboard keys are stuck It was working yesterday.,Hardware
Need access to the marketing folder It was working yesterday.,Access
Clarification on last month's charge Please help.,Billing
Unable to connect to Wi-Fi,Access
Upgrade subscription plan cost I tried restarting but no luck.,Billing
Reset 2FA settings I tried restarting but no luck.,Access
Payment failed notification I tried restarting but no luck.,Billing
Mouse not working Thanks.,Hardware
Account locked out Urgent!!,Access
Monitor is flickering Thanks.,Hardware
Refund request for order #987 I tried restarting but no luck.,Billing
Invoice #12345 is incorrect Please help.,Billing
Cannot log in to VPN I tried restarting but no luck.,Access
Screen went black suddenly Urgent!!,Hardware
Forgot my password Urgent!!,Access
Cancel my subscription renewal Please help.,Billing
Account locked out It was working yesterday.,Access
Cancel my subscription renewal It was working yesterday.,Billing
Receipt for expense report Thanks.,Billing
Invoice #12345 is incorrect Urgent!!,Billing
Error 403 trying to access dashboard I tried restarting but no luck.,Access
Keyboard keys are stuck It was working yesterday.,Hardware
Keyboard keys are stuck Please help.,Hardware
Cannot log in to VPN,Access
Permission denied for Jira It was working yesterday.,Access
Billing address needs to be changed It was working yesterday.,Billing
Reset 2FA settings,Access
Cancel my subscription renewal It was working yesterday.,Billing
My laptop is not turning on Urgent!!,Hardware
Monitor is flickering It was working yesterday.,Hardware
Why was I charged twice?,Billing
New employee account setup Urgent!!,Access
Error 403 trying to access dashboard,Access
Receipt for expense report Thanks.,Billing
Billing address needs to be changed Please help.,Billing
Need to update credit card information Thanks.,Billing
Upgrade subscription plan cost Thanks.,Billing
Monitor is flickering I tried restarting but no luck.,Hardware
Error 403 trying to access dashboard Thanks.,Access
Need to update credit card information Urgent!!,Billing
Cannot log in to VPN I tried restarting but no luck.,Access
New employee account setup,Access
Need access to the marketing folder,Access
Cancel my subscription renewal Urgent!!,Billing
Reset 2FA settings Thanks.,Access
Refund request for order #987 I tried restarting but no luck.,Billing
Why was I charged twice? Thanks.,Billing
Reset 2FA settings Thanks.,Access
Refund request for order #987 I tried restarting but no luck.,Billing
Cancel my subscription renewal Urgent!!,Billing
Payment failed notification Urgent!!,Billing
Need to update credit card information Thanks.,Billing
Payment failed notification It was working yesterday.,Billing
Receipt for expense report Thanks.,Billing
Receipt for expense report It was working yesterday.,Billing
Mouse not working It was working yesterday.,Hardware
Cancel my subscription renewal,Billing
Need access to the marketing folder,Access
Billing address needs to be changed Urgent!!,Billing
Monitor is flickering,Hardware
Monitor is flickering,Hardware
Unable to connect to Wi-Fi,Access
Refund request for order #987,Billing
Computer making a loud noise Please help.,Hardware
Refund request for order #987 Urgent!!,Billing
My laptop is not turning on Urgent!!,Hardware
Monitor is flickering Please help.,Hardware
Webcam failed during meeting It was working yesterday.,Hardware
Printer says paper jam but it's empty It was working yesterday.,Hardware
Mouse not working I tried restarting but no luck.,Hardware
Clarification on last month's charge I tried restarting but no luck.,Billing
Unable to connect to Wi-Fi Urgent!!,Access
Invoice #12345 is incorrect It was working yesterday.,Billing
Why was I charged twice?,Billing
Cancel my subscription renewal Urgent!!,Billing
Cannot log in to VPN,Access
Clarification on last month's charge I tried restarting but no luck.,Billing
Unable to connect to Wi-Fi Thanks.,Access
Screen went black suddenly Urgent!!,Hardware
Printer says paper jam but it's empty,Hardware
Screen went black suddenly Thanks.,Hardware
Need to update credit card information,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
Forgot my password I tried restarting but no luck.,Access
New employee account setup Urgent!!,Access
Receipt for expense report I tried restarting but no luck.,Billing
Need to update credit card information It was working yesterday.,Billing
Reset 2FA settings,Access
Why was I charged twice? It was working yesterday.,Billing
Need a replacement for my headset Please help.,Hardware
Why was I charged twice? Please help.,Billing
Need to update credit card information It was working yesterday.,Billing
Need access to the marketing folder I tried restarting but no luck.,Access
Need access to the marketing folder Please help.,Access
Monitor is flickering It was working yesterday.,Hardware
Docking station not connecting It was working yesterday.,Hardware
Webcam failed during meeting Urgent!!,Hardware
SSO login is looping Urgent!!,Access
Cannot log in to VPN Thanks.,Access
Unable to connect to Wi-Fi I tried restarting but no luck.,Access
Why was I charged twice? Urgent!!,Billing
Billing address needs to be changed Thanks.,Billing
Printer says paper jam but it's empty Thanks.,Hardware
Need to update credit card information I tried restarting but no luck.,Billing
Need to update credit card information Thanks.,Billing
Refund request for order #987 Please help.,Billing
Billing address needs to be changed Please help.,Billing
Error 403 trying to access dashboard Urgent!!,Access
Error 403 trying to access dashboard Thanks.,Access
Upgrade subscription plan cost,Billing
Screen went black suddenly Thanks.,Hardware
Cannot log in to VPN Thanks.,Access
New employee account setup It was working yesterday.,Access
Error 403 trying to access dashboard Urgent!!,Access
Webcam failed during meeting I tried restarting but no luck.,Hardware
Account locked out It was working yesterday.,Access
Upgrade subscription plan cost It was working yesterday.,Billing
Docking station not connecting Thanks.,Hardware
Unable to connect to Wi-Fi I tried restarting but no luck.,Access
Computer making a loud noise It was working yesterday.,Hardware
Payment failed notification Thanks.,Billing
Reset 2FA settings Urgent!!,Access
Keyboard keys are stuck Thanks.,Hardware
Refund request for order #987,Billing
Keyboard keys are stuck Urgent!!,Hardware
Need access to the marketing folder Thanks.,Access
Webcam failed during meeting Urgent!!,Hardware
Mouse not working Urgent!!,Hardware
Unable to connect to Wi-Fi Urgent!!,Access
Need to update credit card information I tried restarting but no luck.,Billing
Error 403 trying to access dashboard I tried restarting but no luck.,Access
Forgot my password Urgent!!,Access
Cancel my subscription renewal Urgent!!,Billing
Permission denied for Jira Thanks.,Access
Need access to the marketing folder Please help.,Access
Cannot log in to VPN I tried restarting but no luck.,Access
Docking station not connecting Please help.,Hardware
Need a replacement for my headset Thanks.,Hardware
Cancel my subscription renewal I tried restarting but no luck.,Billing
Keyboard keys are stuck I tried restarting but no luck.,Hardware
Monitor is flickering It was working yesterday.,Hardware
Refund request for order #987,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
Permission denied for Jira Please help.,Access
Need to update credit card information Please help.,Billing
Billing address needs to be changed It was working yesterday.,Billing
Printer says paper jam but it's empty,Hardware
Reset 2FA settings I tried restarting but no luck.,Access
Need a replacement for my headset It was working yesterday.,Hardware
Receipt for expense report,Billing
Docking station not connecting Urgent!!,Hardware
Permission denied for Jira Urgent!!,Access
Monitor is flickering It was working yesterday.,Hardware
Reset 2FA settings It was working yesterday.,Access
Unable to connect to Wi-Fi Urgent!!,Access
New employee account setup Please help.,Access
Payment failed notification I tried restarting but no luck.,Billing
Forgot my password I tried restarting but no luck.,Access
Cancel my subscription renewal It was working yesterday.,Billing
Refund request for order #987 Urgent!!,Billing
Docking station not connecting Thanks.,Hardware
Forgot my password Please help.,Access
Invoice #12345 is incorrect,Billing
Need access to the marketing folder Please help.,Access
New employee account setup Thanks.,Access
Reset 2FA settings Thanks.,Access
Computer making a loud noise Please help.,Hardware
Unable to connect to Wi-Fi,Access
Need to update credit card information,Billing
SSO login is looping Please help.,Access
Account locked out I tried restarting but no luck.,Access
New employee account setup Thanks.,Access
Upgrade subscription plan cost,Billing
Cannot log in to VPN Urgent!!,Access
Payment failed notification Please help.,Billing
Refund request for order #987 It was working yesterday.,Billing
Upgrade subscription plan cost,Billing
Need a replacement for my headset Please help.,Hardware
Cannot log in to VPN Urgent!!,Access
Upgrade subscription plan cost I tried restarting but no luck.,Billing
SSO login is looping Urgent!!,Access
SSO login is looping Please help.,Access
Monitor is flickering Urgent!!,Hardware
Need to update credit card information Please help.,Billing
Need access to the marketing folder,Access
Webcam failed during meeting Please help.,Hardware
Error 403 trying to access dashboard Urgent!!,Access
Why was I charged twice?,Billing
Reset 2FA settings,Access
Need access to the marketing folder It was working yesterday.,Access
Webcam failed during meeting I tried restarting but no luck.,Hardware
My laptop is not turning on,Hardware
Unable to connect to Wi-Fi I tried restarting but no luck.,Access
Cannot log in to VPN Thanks.,Access
Unable to connect to Wi-Fi Thanks.,Access
Webcam failed during meeting Thanks.,Hardware
Printer says paper jam but it's empty Urgent!!,Hardware
Unable to connect to Wi-Fi It was working yesterday.,Access
Keyboard keys are stuck Please help.,Hardware
Screen went black suddenly It was working yesterday.,Hardware
Need to update credit card information,Billing
My laptop is not turning on,Hardware
Cannot log in to VPN I tried restarting but no luck.,Access
Upgrade subscription plan cost Urgent!!,Billing
Cannot log in to VPN I tried restarting but no luck.,Access
Receipt for expense report It was working yesterday.,Billing
Need a replacement for my headset,Hardware
Printer says paper jam but it's empty,Hardware
New employee account setup Please help.,Access
Need to update credit card information Thanks.,Billing
New employee account setup Urgent!!,Access
Upgrade subscription plan cost It was working yesterday.,Billing
My laptop is not turning on Please help.,Hardware
Permission denied for Jira,Access
Forgot my password,Access
Printer says paper jam but it's empty Urgent!!,Hardware
Billing address needs to be changed I tried restarting but no luck.,Billing
Need a replacement for my headset I tried restarting but no luck.,Hardware
New employee account setup,Access
Need to update credit card information Please help.,Billing
My laptop is not turning on It was working yesterday.,Hardware
Reset 2FA settings Please help.,Access
Upgrade subscription plan cost,Billing
Clarification on last month's charge,Billing
Payment failed notification Please help.,Billing
Payment failed notification Thanks.,Billing
Why was I charged twice?,Billing
Keyboard keys are stuck Please help.,Hardware
Reset 2FA settings,Access
Why was I charged twice?,Billing
Need a replacement for my headset,Hardware
Forgot my password,Access
Permission denied for Jira Thanks.,Access
Error 403 trying to access dashboard I tried restarting but no luck.,Access
Billing address needs to be changed,Billing
My laptop is not turning on Please help.,Hardware
Monitor is flickering Please help.,Hardware
Cancel my subscription renewal Urgent!!,Billing
Refund request for order #987 Please help.,Billing
Unable to connect to Wi-Fi Thanks.,Access
Need a replacement for my headset Thanks.,Hardware
Permission denied for Jira It was working yesterday.,Access
Docking station not connecting,Hardware
Error 403 trying to access dashboard Please help.,Access
Unable to connect to Wi-Fi It was working yesterday.,Access
Clarification on last month's charge Thanks.,Billing
Computer making a loud noise,Hardware
Need access to the marketing folder Please help.,Access
Mouse not working,Hardware
Account locked out I tried restarting but no luck.,Access
Error 403 trying to access dashboard Please help.,Access
Webcam failed during meeting It was working yesterday.,Hardware
Account locked out I tried restarting but no luck.,Access
New employee account setup I tried restarting but no luck.,Access
Refund request for order #987 I tried restarting but no luck.,Billing
Why was I charged twice? Thanks.,Billing
Refund request for order #987,Billing
Keyboard keys are stuck Urgent!!,Hardware
Clarification on last month's charge Thanks.,Billing
Payment failed notification Urgent!!,Billing
Billing address needs to be changed Thanks.,Billing
Printer says paper jam but it's empty Please help.,Hardware
Monitor is flickering Please help.,Hardware
Receipt for expense report Please help.,Billing
Cannot log in to VPN Urgent!!,Access
Webcam failed during meeting I tried restarting but no luck.,Hardware
Keyboard keys are stuck I tried restarting but no luck.,Hardware
Computer making a loud noise Thanks.,Hardware
Unable to connect to Wi-Fi Urgent!!,Access
Why was I charged twice? Urgent!!,Billing
Cancel my subscription renewal I tried restarting but no luck.,Billing
Docking station not connecting Urgent!!,Hardware
Why was I charged twice? Urgent!!,Billing
Cancel my subscription renewal Please help.,Billing
Need access to the marketing folder,Access
Error 403 trying to access dashboard Thanks.,Access
Computer making a loud noise Urgent!!,Hardware
Screen went black suddenly,Hardware
Error 403 trying to access dashboard Thanks.,Access
Account locked out It was working yesterday.,Access
Upgrade subscription plan cost I tried restarting but no luck.,Billing
Computer making a loud noise It was working yesterday.,Hardware
Invoice #12345 is incorrect,Billing
Cannot log in to VPN,Access
Why was I charged twice? Urgent!!,Billing
Mouse not working I tried restarting but no luck.,Hardware
Forgot my password Urgent!!,Access
Refund request for order #987 It was working yesterday.,Billing
Screen went black suddenly Urgent!!,Hardware
Invoice #12345 is incorrect,Billing
Why was I charged twice? Please help.,Billing
Need to update credit card information Please help.,Billing
Webcam failed during meeting Please help.,Hardware
Need access to the marketing folder Urgent!!,Access
Reset 2FA settings Urgent!!,Access
Computer making a loud noise I tried restarting but no luck.,Hardware
Need a replacement for my headset Please help.,Hardware
Upgrade subscription plan cost Thanks.,Billing
Webcam failed during meeting Please help.,Hardware
Cancel my subscription renewal Thanks.,Billing
My laptop is not turning on Thanks.,Hardware
Error 403 trying to access dashboard It was working yesterday.,Access
Mouse not working Please help.,Hardware
Receipt for expense report It was working yesterday.,Billing
Billing address needs to be changed Urgent!!,Billing
Printer says paper jam but it's empty I tried restarting but no luck.,Hardware
Need a replacement for my headset I tried restarting but no luck.,Hardware
Cancel my subscription renewal It was working yesterday.,Billing
Billing address needs to be changed Thanks.,Billing
SSO login is looping I tried restarting but no luck.,Access
Need to update credit card information Please help.,Billing
Permission denied for Jira I tried restarting but no luck.,Access
Printer says paper jam but it's empty,Hardware
My laptop is not turning on Thanks.,Hardware
New employee account setup,Access
Screen went black suddenly It was working yesterday.,Hardware
Printer says paper jam but it's empty It was working yesterday.,Hardware
Computer making a loud noise Please help.,Hardware
